NU_ANO_CENSO,NO_REGIAO,SUM_MAT_FUND_AI,SUM_MAT_FUND_AI_ND,SUM_MAT_FUND_AI_BRANCA,SUM_MAT_FUND_AI_PRETA,SUM_MAT_FUND_AI_PARDA,SUM_MAT_FUND_AI_AMARELA,SUM_MAT_FUND_AI_INDIGENA
2011,Centro-Oeste,1220640,1648280,805482,76702,1053047,42246,38048
2011,Nordeste,5169126,6577111,1755419,539027,6477175,62269,59147
2011,Norte,1914197,2144823,446525,90431,2329195,17013,93330
2011,Sudeste,6106868,6453979,7645365,783487,5120891,84257,32704
2011,Sul,2076049,2704983,3158742,112878,581078,18947,20038
2012,Centro-Oeste,1220615,1563009,832230,74890,1101535,35331,40493
2012,Nordeste,5020097,6131215,1819884,531693,6621028,59820,64187
2012,Norte,1880225,2014498,465254,92213,2467716,16871,103123
2012,Sudeste,5921491,6036172,7826492,785699,5199345,79876,30878
2012,Sul,2092461,2529025,3280632,115982,586222,19536,20201
2013,Centro-Oeste,1213750,1506822,850834,72643,1136271,29594,42253
2013,Nordeste,4876376,5640559,1866655,531115,6802251,57781,70475
2013,Norte,1868348,1919975,476565,91047,2531803,15974,109124
2013,Sudeste,5840181,5758719,7929590,778795,5233302,77086,29112
2013,Sul,2078846,2356292,3379470,118844,588971,19879,20647
2014,Centro-Oeste,1205045,1455759,873645,75194,1179465,26245,44220
2014,Nordeste,4784758,5353749,1889981,548306,6891144,57226,66308
2014,Norte,1854843,1854753,483025,89904,2575209,15649,113017
2014,Sudeste,5907262,5542621,8021051,777280,5260177,75177,29284
2014,Sul,2053226,2236531,3477112,122032,595380,20239,21688
2015,Centro-Oeste,1192473,954225,617810,121046,115943,232895,123448
2015,Nordeste,4685493,3718163,2214168,530896,485372,1361792,1001737
2015,Norte,1834653,1286561,789324,125559,110441,455132,310484
2015,Sudeste,5828294,4793314,3353215,821673,803496,1076230,537260
2015,Sul,2021490,1616544,1101633,318018,310205,365820,209682
2016,Centro-Oeste,1183780,1371458,890082,73891,1241927,19996,46292
2016,Nordeste,4633264,4786834,1875334,526599,7011039,53542,71897
2016,Norte,1811092,1638396,495491,90009,2665712,14092,126523
2016,Sudeste,5829903,4641689,8251282,841830,5519447,70044,25897
2016,Sul,1984000,1728116,3876236,141983,680363,19382,22096
2017,Centro-Oeste,1176322,1367407,887044,71941,1248450,17642,47503
2017,Nordeste,4571487,4718703,1869427,523792,7101522,52470,72713
2017,Norte,1789514,1603786,495458,89382,2675737,13378,133160
2017,Sudeste,5827702,4542654,8174796,833007,5503399,65770,24715
2017,Sul,1963515,1658412,3932222,146925,695722,18342,22614
2018,Centro-Oeste,1180836,1369290,893553,72703,1269985,16519,48882
2018,Nordeste,4477690,4585803,1866748,524007,7110388,52653,73843
2018,Norte,1756349,1572131,499683,89063,2674582,13140,143891
2018,Sudeste,5814430,4562499,8105683,824831,5494004,64048,23875
2018,Sul,1947115,1574559,4014649,155517,718545,17586,23207
2019,Centro-Oeste,1177352,1411046,879716,70435,1241040,14642,49784
2019,Nordeste,4380618,4508625,1824215,504488,7005731,49633,75784
2019,Norte,1721583,1502264,495177,90106,2674814,12409,149893
2019,Sudeste,5785299,4359923,8060822,826672,5505456,61874,23279
2019,Sul,1953646,1516572,4032277,159205,729403,16526,22435
2020,Centro-Oeste,1166878,1427181,853639,68883,1217743,13200,49210
2020,Nordeste,4239868,4405477,1771101,502658,6864307,50659,75880
2020,Norte,1678304,1475562,484210,88450,2641602,11886,150365
2020,Sudeste,5745506,4265356,8046786,786919,5544791,60144,22866
2020,Sul,1959859,1386373,4052038,165501,772990,16639,22878
2021,Centro-Oeste,1167389,1478638,820892,65856,1170280,11773,51954
2021,Nordeste,4132922,4500129,1728991,515084,6870863,48098,82194
2021,Norte,1616919,1515040,472638,88119,2624109,11179,157680
2021,Sudeste,5660515,4097363,7925876,696569,5435691,61305,24567
2021,Sul,1955906,1358778,3911663,163029,741007,16249,22787
