Ano,Unidade Geográfica,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2016.0,Brasil,Total,Total,92.0,6.8,1.2
2016.0,Brasil,Rural,Total,85.0,12.4,2.6
2016.0,Brasil,Urbana,Total,93.4,5.7,0.9
2016.0,Brasil,Total,Estadual,93.8,5.3,0.9
2016.0,Brasil,Total,Federal,96.0,3.9,0.1
2016.0,Brasil,Total,Municipal,90.1,8.3,1.6
2016.0,Brasil,Total,Privada,98.3,1.6,0.1
2016.0,Brasil,Rural,Estadual,88.1,9.3,2.6
2016.0,Brasil,Urbana,Estadual,94.2,5.0,0.8
2016.0,Brasil,Rural,Federal,86.7,13.3,0.0
2016.0,Brasil,Urbana,Federal,96.1,3.8,0.1
2016.0,Brasil,Rural,Municipal,84.7,12.7,2.6
2016.0,Brasil,Urbana,Municipal,91.7,7.1,1.2
2016.0,Brasil,Rural,Privada,96.3,3.3,0.4
2016.0,Brasil,Urbana,Privada,98.3,1.6,0.1
2016.0,Brasil,Total,Pública,90.8,7.8,1.4
2016.0,Brasil,Rural,Pública,84.9,12.5,2.6
2016.0,Brasil,Urbana,Pública,92.3,6.6,1.1
2016.0,Norte,Total,Total,85.3,12.0,2.7
2016.0,Norte,Rural,Total,77.3,18.1,4.6
2016.0,Norte,Urbana,Total,89.0,9.2,1.8
2016.0,Norte,Total,Estadual,88.9,9.1,2.0
2016.0,Norte,Total,Federal,93.0,7.0,0.0
2016.0,Norte,Total,Municipal,83.0,13.9,3.1
2016.0,Norte,Total,Privada,98.6,1.3,0.1
2016.0,Norte,Rural,Estadual,83.8,12.2,4.0
2016.0,Norte,Urbana,Estadual,89.7,8.5,1.8
2016.0,Norte,Rural,Federal,0.0,0.0,0.0
2016.0,Norte,Urbana,Federal,93.0,7.0,0.0
2016.0,Norte,Rural,Municipal,76.6,18.7,4.7
2016.0,Norte,Urbana,Municipal,87.2,10.8,2.0
2016.0,Norte,Rural,Privada,92.3,6.8,0.9
2016.0,Norte,Urbana,Privada,98.6,1.2,0.2
2016.0,Norte,Total,Pública,84.2,12.9,2.9
2016.0,Norte,Rural,Pública,77.2,18.1,4.7
2016.0,Norte,Urbana,Pública,87.9,10.2,1.9
2016.0,Nordeste,Total,Total,87.6,10.3,2.1
2016.0,Nordeste,Rural,Total,84.5,13.0,2.5
2016.0,Nordeste,Urbana,Total,88.8,9.2,2.0
2016.0,Nordeste,Total,Estadual,82.7,13.7,3.6
2016.0,Nordeste,Total,Federal,92.2,7.8,0.0
2016.0,Nordeste,Total,Municipal,85.6,11.9,2.5
2016.0,Nordeste,Total,Privada,97.8,2.0,0.2
2016.0,Nordeste,Rural,Estadual,78.9,15.1,6.0
2016.0,Nordeste,Urbana,Estadual,83.4,13.5,3.1
2016.0,Nordeste,Rural,Federal,86.7,13.3,0.0
2016.0,Nordeste,Urbana,Federal,93.9,6.1,0.0
2016.0,Nordeste,Rural,Municipal,84.5,13.0,2.5
2016.0,Nordeste,Urbana,Municipal,86.3,11.3,2.4
2016.0,Nordeste,Rural,Privada,96.5,3.0,0.5
2016.0,Nordeste,Urbana,Privada,97.9,1.9,0.2
2016.0,Nordeste,Total,Pública,85.5,12.0,2.5
2016.0,Nordeste,Rural,Pública,84.4,13.1,2.5
2016.0,Nordeste,Urbana,Pública,86.1,11.4,2.5
2016.0,Sudeste,Total,Total,96.6,3.0,0.4
2016.0,Sudeste,Rural,Total,94.8,4.7,0.5
2016.0,Sudeste,Urbana,Total,96.7,3.0,0.3
2016.0,Sudeste,Total,Estadual,98.8,0.9,0.3
2016.0,Sudeste,Total,Federal,97.0,3.0,0.0
2016.0,Sudeste,Total,Municipal,95.3,4.2,0.5
2016.0,Sudeste,Total,Privada,98.4,1.5,0.1
2016.0,Sudeste,Rural,Estadual,97.9,1.6,0.5
2016.0,Sudeste,Urbana,Estadual,98.8,0.8,0.4
2016.0,Sudeste,Rural,Federal,0.0,0.0,0.0
2016.0,Sudeste,Urbana,Federal,97.0,3.0,0.0
2016.0,Sudeste,Rural,Municipal,94.4,5.1,0.5
2016.0,Sudeste,Urbana,Municipal,95.4,4.1,0.5
2016.0,Sudeste,Rural,Privada,97.5,2.5,0.0
2016.0,Sudeste,Urbana,Privada,98.4,1.5,0.1
2016.0,Sudeste,Total,Pública,96.1,3.4,0.5
2016.0,Sudeste,Rural,Pública,94.8,4.8,0.4
2016.0,Sudeste,Urbana,Pública,96.2,3.3,0.5
2016.0,Sul,Total,Total,94.3,5.4,0.3
2016.0,Sul,Rural,Total,93.6,6.0,0.4
2016.0,Sul,Urbana,Total,94.4,5.3,0.3
2016.0,Sul,Total,Estadual,90.4,9.2,0.4
2016.0,Sul,Total,Federal,99.2,0.8,0.0
2016.0,Sul,Total,Municipal,94.7,5.0,0.3
2016.0,Sul,Total,Privada,98.9,1.1,0.0
2016.0,Sul,Rural,Estadual,90.0,9.3,0.7
2016.0,Sul,Urbana,Estadual,90.4,9.2,0.4
2016.0,Sul,Rural,Federal,0.0,0.0,0.0
2016.0,Sul,Urbana,Federal,99.2,0.8,0.0
2016.0,Sul,Rural,Municipal,94.5,5.2,0.3
2016.0,Sul,Urbana,Municipal,94.7,4.9,0.4
2016.0,Sul,Rural,Privada,91.6,6.3,2.1
2016.0,Sul,Urbana,Privada,98.9,1.1,0.0
2016.0,Sul,Total,Pública,93.6,6.0,0.4
2016.0,Sul,Rural,Pública,93.6,6.0,0.4
2016.0,Sul,Urbana,Pública,93.6,6.0,0.4
2016.0,Centro-Oeste,Total,Total,94.8,4.6,0.6
2016.0,Centro-Oeste,Rural,Total,91.9,6.8,1.3
2016.0,Centro-Oeste,Urbana,Total,95.1,4.4,0.5
2016.0,Centro-Oeste,Total,Estadual,93.8,5.6,0.6
2016.0,Centro-Oeste,Total,Federal,88.3,10.0,1.7
2016.0,Centro-Oeste,Total,Municipal,94.2,5.1,0.7
2016.0,Centro-Oeste,Total,Privada,98.8,1.2,0.0
2016.0,Centro-Oeste,Rural,Estadual,93.6,5.6,0.8
2016.0,Centro-Oeste,Urbana,Estadual,93.9,5.6,0.5
2016.0,Centro-Oeste,Rural,Federal,0.0,0.0,0.0
2016.0,Centro-Oeste,Urbana,Federal,88.3,10.0,1.7
2016.0,Centro-Oeste,Rural,Municipal,91.2,7.3,1.5
2016.0,Centro-Oeste,Urbana,Municipal,94.5,4.8,0.7
2016.0,Centro-Oeste,Rural,Privada,95.8,4.2,0.0
2016.0,Centro-Oeste,Urbana,Privada,98.8,1.2,0.0
2016.0,Centro-Oeste,Total,Pública,94.0,5.3,0.7
2016.0,Centro-Oeste,Rural,Pública,91.8,6.9,1.3
2016.0,Centro-Oeste,Urbana,Pública,94.3,5.1,0.6
